Algorithm,Params,EvaluationMethod,TP,FP,FN,Precision,Recall,F1-Score,GT_Relevant,Predicted_Boxes,Timestamp,Seed,TotalSimTime,NumInitialObstacles,AgentSpeed,LiDAR_Range,PaddingCells,ClusteringTime_sec,LiDAR_Noise_Enabled,LiDAR_Noise_Level
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",3D_IOU,7,30,53,0.189,0.117,0.144,60,37,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,29,1,31,0.967,0.483,0.644,60,30,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,23,7,37,0.767,0.383,0.511,60,30,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,33,14,27,0.702,0.55,0.617,60,47,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",2D_CENTER_IN_GT_AREA,32,5,28,0.865,0.533,0.66,60,37,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,24,6,36,0.8,0.4,0.533,60,30,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,21,9,39,0.7,0.35,0.467,60,30,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,31,16,29,0.66,0.517,0.579,60,47,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",2D_AREA_OVERLAP_RATIO,27,10,33,0.73,0.45,0.557,60,37,2025-05-22 12:34:45,8,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,18,10,38,0.643,0.321,0.429,56,28,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,16,11,40,0.593,0.286,0.386,56,27,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 56, 'random_state': 9, 'n_init': 'auto'}",3D_IOU,13,28,43,0.317,0.232,0.268,56,41,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 9}",3D_IOU,13,19,43,0.406,0.232,0.295,56,32,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,27,1,29,0.964,0.482,0.643,56,28,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,25,2,31,0.926,0.446,0.602,56,27,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 56, 'random_state': 9, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,29,12,27,0.707,0.518,0.598,56,41,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 9}",2D_CENTER_IN_GT_AREA,24,8,32,0.75,0.429,0.545,56,32,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,25,3,31,0.893,0.446,0.595,56,28,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,24,3,32,0.889,0.429,0.578,56,27,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 56, 'random_state': 9, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,27,14,29,0.659,0.482,0.557,56,41,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 9}",2D_AREA_OVERLAP_RATIO,25,7,31,0.781,0.446,0.568,56,32,2025-05-22 12:34:55,9,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,8,19,48,0.296,0.143,0.193,56,27,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,10,17,46,0.37,0.179,0.241,56,27,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 56, 'random_state': 10, 'n_init': 'auto'}",3D_IOU,5,35,51,0.125,0.089,0.104,56,40,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 10}",3D_IOU,5,27,51,0.156,0.089,0.114,56,32,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,26,1,30,0.963,0.464,0.627,56,27,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,21,6,35,0.778,0.375,0.506,56,27,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 56, 'random_state': 10, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,28,12,28,0.7,0.5,0.583,56,40,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 10}",2D_CENTER_IN_GT_AREA,27,5,29,0.844,0.482,0.614,56,32,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,22,5,34,0.815,0.393,0.53,56,27,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,25,2,31,0.926,0.446,0.602,56,27,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 56, 'random_state': 10, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,28,12,28,0.7,0.5,0.583,56,40,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 10}",2D_AREA_OVERLAP_RATIO,27,5,29,0.844,0.482,0.614,56,32,2025-05-22 12:35:06,10,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,11,22,49,0.333,0.183,0.237,60,33,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,7,20,53,0.259,0.117,0.161,60,27,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,5,36,55,0.122,0.083,0.099,60,41,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,7,26,53,0.212,0.117,0.151,60,33,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,33,0,27,1.0,0.55,0.71,60,33,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,20,7,40,0.741,0.333,0.46,60,27,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,31,10,29,0.756,0.517,0.614,60,41,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,26,7,34,0.788,0.433,0.559,60,33,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,29,4,31,0.879,0.483,0.624,60,33,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,24,3,36,0.889,0.4,0.552,60,27,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,29,12,31,0.707,0.483,0.574,60,41,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,27,6,33,0.818,0.45,0.581,60,33,2025-05-22 12:35:17,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,17,15,41,0.531,0.293,0.378,58,32,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,16,13,42,0.552,0.276,0.368,58,29,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 58, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,9,42,49,0.176,0.155,0.165,58,51,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
GMM,"{'n_components': 58, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,9,26,49,0.257,0.155,0.194,58,35,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,31,1,27,0.969,0.534,0.689,58,32,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,26,3,32,0.897,0.448,0.598,58,29,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 58, 'random_state': 6, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,34,17,24,0.667,0.586,0.624,58,51,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
GMM,"{'n_components': 58, 'covariance_type': 'full', 'random_state': 6}",2D_CENTER_IN_GT_AREA,29,6,29,0.829,0.5,0.624,58,35,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,25,7,33,0.781,0.431,0.556,58,32,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,25,4,33,0.862,0.431,0.575,58,29,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 58, 'random_state': 6, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,31,20,27,0.608,0.534,0.569,58,51,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
GMM,"{'n_components': 58, 'covariance_type': 'full', 'random_state': 6}",2D_AREA_OVERLAP_RATIO,28,7,30,0.8,0.483,0.602,58,35,2025-05-22 12:35:30,6,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,19,15,41,0.559,0.317,0.404,60,34,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,17,15,43,0.531,0.283,0.37,60,32,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 7, 'n_init': 'auto'}",3D_IOU,12,41,48,0.226,0.2,0.212,60,53,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 7}",3D_IOU,12,28,48,0.3,0.2,0.24,60,40,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,34,0,26,1.0,0.567,0.723,60,34,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,30,2,30,0.938,0.5,0.652,60,32,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 7, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,34,19,26,0.642,0.567,0.602,60,53,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 7}",2D_CENTER_IN_GT_AREA,32,8,28,0.8,0.533,0.64,60,40,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,30,4,30,0.882,0.5,0.638,60,34,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,30,2,30,0.938,0.5,0.652,60,32,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,35,18,25,0.66,0.583,0.619,60,53,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,33,7,27,0.825,0.55,0.66,60,40,2025-05-22 12:35:42,7,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,15,23,45,0.395,0.25,0.306,60,38,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,10,24,50,0.294,0.167,0.213,60,34,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",3D_IOU,7,44,53,0.137,0.117,0.126,60,51,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",3D_IOU,7,29,53,0.194,0.117,0.146,60,36,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,35,3,25,0.921,0.583,0.714,60,38,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,25,9,35,0.735,0.417,0.532,60,34,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,37,14,23,0.725,0.617,0.667,60,51,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",2D_CENTER_IN_GT_AREA,28,8,32,0.778,0.467,0.583,60,36,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,31,7,29,0.816,0.517,0.633,60,38,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,7,33,0.794,0.45,0.574,60,34,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,37,14,23,0.725,0.617,0.667,60,51,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",2D_AREA_OVERLAP_RATIO,31,5,29,0.861,0.517,0.646,60,36,2025-05-22 12:35:55,8,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,17,21,43,0.447,0.283,0.347,60,38,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,15,21,45,0.417,0.25,0.312,60,36,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 9, 'n_init': 'auto'}",3D_IOU,13,32,47,0.289,0.217,0.248,60,45,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 9}",3D_IOU,14,25,46,0.359,0.233,0.283,60,39,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,38,0,22,1.0,0.633,0.776,60,38,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,30,6,30,0.833,0.5,0.625,60,36,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 9, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,37,8,23,0.822,0.617,0.705,60,45,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 9}",2D_CENTER_IN_GT_AREA,34,5,26,0.872,0.567,0.687,60,39,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,32,6,28,0.842,0.533,0.653,60,38,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,35,1,25,0.972,0.583,0.729,60,36,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 9, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,37,8,23,0.822,0.617,0.705,60,45,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 9}",2D_AREA_OVERLAP_RATIO,34,5,26,0.872,0.567,0.687,60,39,2025-05-22 12:36:06,9,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,12,19,48,0.387,0.2,0.264,60,31,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,7,24,53,0.226,0.117,0.154,60,31,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 10, 'n_init': 'auto'}",3D_IOU,7,45,53,0.135,0.117,0.125,60,52,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 10}",3D_IOU,7,37,53,0.159,0.117,0.135,60,44,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,27,4,33,0.871,0.45,0.593,60,31,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,24,7,36,0.774,0.4,0.527,60,31,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 10, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,33,19,27,0.635,0.55,0.589,60,52,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 10}",2D_CENTER_IN_GT_AREA,32,12,28,0.727,0.533,0.615,60,44,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,23,8,37,0.742,0.383,0.505,60,31,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,30,1,30,0.968,0.5,0.659,60,31,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 10, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,35,17,25,0.673,0.583,0.625,60,52,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 10}",2D_AREA_OVERLAP_RATIO,33,11,27,0.75,0.55,0.635,60,44,2025-05-22 12:36:30,10,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,15,25,45,0.375,0.25,0.3,60,40,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,15,22,45,0.405,0.25,0.309,60,37,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,12,42,48,0.222,0.2,0.211,60,54,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,14,31,46,0.311,0.233,0.267,60,45,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,38,2,22,0.95,0.633,0.76,60,40,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,31,6,29,0.838,0.517,0.639,60,37,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,38,16,22,0.704,0.633,0.667,60,54,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,35,10,25,0.778,0.583,0.667,60,45,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,29,11,31,0.725,0.483,0.58,60,40,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,33,4,27,0.892,0.55,0.68,60,37,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,41,13,19,0.759,0.683,0.719,60,54,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,37,8,23,0.822,0.617,0.705,60,45,2025-05-22 12:36:41,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,9,25,51,0.265,0.15,0.191,60,34,2025-05-22 12:36:57,6,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,12,19,48,0.387,0.2,0.264,60,31,2025-05-22 12:36:57,6,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,9,35,51,0.205,0.15,0.173,60,44,2025-05-22 12:36:57,6,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,9,34,51,0.209,0.15,0.175,60,43,2025-05-22 12:36:57,6,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,31,3,29,0.912,0.517,0.66,60,34,2025-05-22 12:36:57,6,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,24,7,36,0.774,0.4,0.527,60,31,2025-05-22 12:36:57,6,20.0,60,20,30,1,,,
